Trial,40K I series,40K V series,40K V resistor,40K power,40K temp,4K I series,4K V series,4K V resistor,4K power,4K temp,Date
89,0.138807197,7.0972094,6.9115446,0.959372136,60.5854,0.236211406,12.3348244,11.6990026,2.763437849,8.0786,30:58.4
90,0.138790557,7.0973758,6.9110938,0.959194561,60.6296,0.272683955,14.2437232,13.5095096,3.683826506,8.9476,36:11.7
91,0.138778877,7.0974926,6.9106626,0.959053998,60.8348,0.305097276,15.9226932,15.1015728,4.607448726,9.8056,41:25.0
92,0.138762397,7.0976574,6.910354,0.958897288,61.0826,0.333750109,17.4471086,16.5420092,5.520897375,10.7206,46:38.4
93,0.19629792,10.0370208,9.7801974,1.919832407,62.0332,-0.00088924,0.0088924,0.0057344,-5.10E-06,3.8384,06:53.9
94,0.196253,10.03747,9.7789344,1.919145213,61.8898,0.09767722,5.0232278,4.7616966,0.465109286,4.528,12:07.2
95,0.19624796,10.0375204,9.77835,1.91898124,61.7292,0.137119237,7.114089,6.746119,0.925022693,5.2196,17:20.2
96,0.1962271,10.037729,9.777632,1.918636372,61.5298,0.1936267,10.063733,9.5449418,1.848155582,6.6962,22:34.2
97,0.19621746,10.0378254,9.7770342,1.918424817,61.3668,0.236194626,12.3349922,11.6994884,2.763356283,8.042,27:48.0
98,0.19620662,10.0379338,9.776519,1.918217748,61.416,0.272684835,14.2437144,13.50988,3.683939397,8.9408,33:00.5
99,0.19618922,10.0381078,9.7761584,1.917976891,61.6216,0.305104176,15.9226242,15.101641,4.607573735,9.7622,38:13.9
100,0.19618862,10.0381138,9.7761764,1.917974557,61.881,0.486147809,15.9231316,15.1006546,7.34115015,9.9724,43:27.1
101,0.239441486,12.3025236,11.9875966,2.87032794,62.7714,-0.0009002,0.009002,0.0052394,-4.72E-06,3.7992,03:41.7
102,0.239416086,12.3027776,11.9863314,2.869720545,62.6456,0.0976631,5.023369,4.7617112,0.465043477,4.5124,08:54.5
103,0.239397486,12.3029636,11.9857844,2.869366649,62.5038,0.137119577,7.1140856,6.7461618,0.925030855,5.2136,14:07.7
104,0.239385786,12.3030806,11.9850056,2.869039982,62.3134,0.19362676,10.0637324,9.545365,1.848238098,6.6962,19:20.5
105,0.239450766,12.3024308,11.9872176,2.870348433,62.3474,1.385768566,0.8392528,0.79134,1.096614097,3.7912,24:33.5
106,0.239355046,12.303388,11.9840284,2.868437665,62.179,0.272731075,14.243252,13.510851,3.684828915,8.8582,29:46.5
107,0.239353146,12.303407,11.983565,2.868303979,62.1728,0.305096136,15.9227046,15.1031226,4.607904348,9.694,34:59.9
108,0.239336646,12.303572,11.983262,2.868033731,62.4446,0.333751969,17.44709,16.5445662,5.521781547,10.513,40:13.4
109,0.277658235,14.1939804,13.8305536,3.8401671,63.5304,-0.00091262,0.0091262,0.0048198,-4.40E-06,3.8114,00:28.4
110,0.277612175,14.194441,13.8293326,3.8391911,63.432,0.09765692,5.0234308,4.7614156,0.464985182,4.5234,05:41.0
111,0.277598515,14.1945776,13.8288576,3.838870332,63.299,0.137107597,7.1142054,6.7461052,0.924942276,5.2204,10:54.1
112,0.277573895,14.1948238,13.8281194,3.83832496,63.1262,0.1936193,10.063807,9.5453948,1.848172659,6.7088,16:07.2
113,0.277557075,14.194992,13.8276686,3.837967249,62.985,0.236188586,12.3350526,11.700215,2.763457233,8.062,21:20.3
114,0.277540835,14.1951544,13.8271422,3.83759659,63.0632,0.272655715,14.2440056,13.5110772,3.683872412,8.962,26:34.1
115,0.277534075,14.195222,13.8267688,3.837399487,63.2946,0.305055556,15.9231104,15.1027312,4.607172065,9.8094,31:47.3
116,0.277525075,14.195312,13.826862,3.837300911,63.579,0.486104769,15.923562,15.101141,7.340736659,10.0212,37:00.7
117,0.310505796,15.868608,15.4619296,4.80101876,64.5242,-0.00092216,0.0092216,0.0044518,-4.11E-06,3.8436,57:16.3
